category,room_count,bathroom_count,size,price,city,region,price_per_m2,log_price,budget_tier,size_tier
3,0.0,0.125,0.020202020202020204,0.006321112515802781,0,41,0.01376204178656324,0.09719500876559761,0,1
5,0.20000000000000004,0.125,0.06818181818181819,0.10619469026548672,0,100,0.036657074940573,0.5185108796535012,1,2
0,0.1,0.125,0.03787878787878787,0.011378002528445006,0,5,0.011009633429250593,0.1527276477261008,0,1
0,0.1,0.125,0.03787878787878787,0.011378002528445006,0,5,0.011009633429250593,0.1527276477261008,0,1
0,0.0,0.125,0.015151515151515152,0.1529709228824273,0,41,0.16176654572751156,0.5933793956893887,1,0
0,0.0,0.125,0.0303030303030303,0.011378002528445006,0,84,0.01313649443262855,0.1527276477261008,0,1
0,0.20000000000000004,0.125,0.055555555555555566,0.1529709228824273,0,100,0.061678969097960716,0.5933793956893887,1,2
0,0.20000000000000004,0.125,0.04292929292929293,0.17825537294563842,0,54,0.08845239584636555,0.625348045787357,2,2
0,0.20000000000000004,0.125,0.06565656565656566,0.1529709228824273,0,84,0.05329663455523583,0.5933793956893887,1,2
0,0.0,0.125,0.025252525252525252,0.05941845764854614,0,5,0.04916802201926686,0.40522842116118407,0,1
0,0.1,0.125,0.03535353535353536,0.17825537294563842,0,3,0.10334042287001124,0.625348045787357,2,1
5,0.30000000000000004,0.125,0.0404040404040404,0.12262958280657396,0,54,0.06543225322156886,0.5477467257914819,1,1
0,0.30000000000000004,0.125,0.045454545454545456,0.14032869785082175,0,3,0.06730889528337294,0.5754872641022999,1,2
0,0.20000000000000004,0.25,0.09090909090909091,0.5701643489254108,0,41,0.1430001251094708,0.8760956997009386,3,2
4,0.1,0.125,0.0707070707070707,0.19089759797724398,0,84,0.061678969097960716,0.6397855006703106,2,2
0,0.1,0.25,0.06060606060606061,0.30467762326169406,0,41,0.11084699111722757,0.7396617510570282,2,2
0,0.1,0.125,0.045454545454545456,0.26675094816687733,0,41,0.12423370449143,0.7110446529854595,2,2
0,0.1,0.25,0.06565656565656566,0.36788874841972186,0,41,0.12423370449143,0.7804475611013717,2,2
0,0.20000000000000004,0.125,0.03282828282828283,0.0720606826801517,0,117,0.04766670836982359,0.4418892440961124,1,1
4,0.0,0.125,0.09090909090909091,0.34260429835651074,0,84,0.08670086325534843,0.7649788594410643,2,2
0,0.20000000000000004,0.25,0.05808080808080808,0.2161820480404551,0,84,0.08257225071937944,0.6661338558317005,2,2
0,0.20000000000000004,0.25,0.055555555555555566,0.34260429835651074,0,84,0.13386713374202427,0.7649788594410643,2,2
0,0.0,0.125,0.023232323232323233,0.1529709228824273,0,66,0.1223570624296259,0.5933793956893887,1,1
0,0.0,0.125,0.00808080808080808,0.08975979772439949,0,4,0.1381208557487802,0.48484067237289885,1,0
0,0.0,0.125,0.025252525252525252,0.1984829329962073,0,66,0.14750406605780056,0.648035474889141,2,1
0,0.0,0.125,0.03535353535353536,0.011378002528445006,0,5,0.011635180783185286,0.1527276477261008,0,1
3,0.0,0.125,0.03535353535353536,0.011378002528445006,0,5,0.011635180783185286,0.1527276477261008,0,1
3,0.0,0.125,0.03535353535353536,0.011378002528445006,0,5,0.011635180783185286,0.1527276477261008,0,1
3,0.0,0.125,0.03535353535353536,0.011378002528445006,0,5,0.011635180783185286,0.1527276477261008,0,1
0,0.1,0.125,0.0303030303030303,0.13527180783817952,0,3,0.08982860002502188,0.5679076002887493,1,1
0,0.20000000000000004,0.125,0.055555555555555566,0.34260429835651074,0,66,0.13386713374202427,0.7649788594410643,2,2
0,0.1,0.125,0.0404040404040404,0.046776232616940576,0,11,0.0278994119854873,0.36134887078477873,0,1
0,0.0,0.125,0.020202020202020204,0.1529709228824273,0,66,0.13461779056674592,0.5933793956893887,1,1
0,0.1,0.125,0.0404040404040404,0.19089759797724398,0,84,0.09921181033404228,0.6397855006703106,2,1
3,0.1,0.125,0.025252525252525252,0.008849557522123892,0,41,0.013386713374202424,0.1266886665979169,0,1
0,0.20000000000000004,0.125,0.0404040404040404,0.16561314791403287,0,11,0.08670086325534843,0.6099309064659173,1,1
0,0.20000000000000004,0.375,0.08585858585858586,0.6207332490518331,0,41,0.16376829726010259,0.8947612663710427,3,2
1,0.6000000000000001,0.5,0.1919191919191919,0.7471554993678887,0,4,0.09295633679469535,0.9355986387542541,3,3
0,0.0,0.125,0.03535353535353536,0.011378002528445006,0,5,0.011635180783185286,0.1527276477261008,0,1
0,0.0,0.125,0.025252525252525252,0.3299620733249052,0,84,0.24046040285249592,0.756883572238837,2,1
0,0.1,0.125,0.0404040404040404,0.20353982300884954,0,84,0.1054672838733892,0.6533463957925132,2,1
0,0.20000000000000004,0.25,0.06060606060606061,0.24146649810366622,0,21,0.08845239584636555,0.6896978446942355,2,2
0,0.0,0.125,0.0303030303030303,0.2161820480404551,0,84,0.13987238833979732,0.6661338558317005,2,1
0,0.0,0.125,0.03535353535353536,0.011378002528445006,0,5,0.011635180783185286,0.1527276477261008,0,1
0,0.0,0.125,0.03535353535353536,0.011378002528445006,0,5,0.011635180783185286,0.1527276477261008,0,1
1,0.1,0.125,0.031818181818181815,0.2161820480404551,0,5,0.13474290003753284,0.6661338558317005,2,1
0,0.0,0.125,0.03787878787878787,0.17825537294563842,0,66,0.09783560615538595,0.625348045787357,2,1
0,0.1,0.125,0.05050505050505051,0.16561314791403287,0,54,0.07206305517327662,0.6099309064659173,1,2
0,0.1,0.125,0.06565656565656566,0.34260429835651074,0,41,0.11585136994870511,0.7649788594410643,2,2
0,0.0,0.125,0.015151515151515152,0.1150442477876106,0,41,0.12423370449143,0.5347014540579562,1,0
2,0.20000000000000004,0.375,0.1919191919191919,0.08975979772439949,0,84,0.011635180783185286,0.48484067237289885,1,3
0,0.1,0.125,0.025252525252525252,0.10998735777496839,0,11,0.08494933066433129,0.525574920078375,1,1
0,0.20000000000000004,0.25,0.055555555555555566,0.22882427307206066,0,66,0.09057925684974351,0.6782510054656081,2,2
0,0.20000000000000004,0.125,0.03282828282828283,0.2161820480404551,0,5,0.13161516326785938,0.6661338558317005,2,1
0,0.0,0.125,0.012626262626262628,0.1150442477876106,0,66,0.1381208557487802,0.5347014540579562,1,0
0,0.0,0.125,0.0303030303030303,0.17825537294563842,0,84,0.11647691730263982,0.625348045787357,2,1
